masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck17
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<473:38:06,  3.41s/it]
dA: 0.937; gA: 0.012;idtA: 0.052; ;dB: 0.571; gB: 0.016;cA: 0.088; cB: 0.000:   0%|          | 53/500000 [00:31<311:44:55,  2.24s/it] 
dA: 0.937; gA: 0.012;idtA: 0.052; ;dB: 0.571; gB: 0.016;cA: 0.088; cB: 0.000:   0%|          | 54/500000 [00:32<309:23:02,  2.23s/it]
dA: 0.782; gA: -0.022;idtA: 0.032; ;dB: 0.445; gB: 0.005;cA: 0.073; cB: 0.000:   0%|          | 54/500000 [00:32<309:23:02,  2.23s/it]
dA: 0.782; gA: -0.022;idtA: 0.032; ;dB: 0.445; gB: 0.005;cA: 0.073; cB: 0.000:   0%|          | 55/500000 [00:32<307:02:37,  2.21s/it]
dA: 1.389; gA: 0.004;idtA: 0.022; ;dB: 0.405; gB: 0.010;cA: 0.054; cB: 0.000:   0%|          | 55/500000 [00:32<307:02:37,  2.21s/it] 
dA: 1.389; gA: 0.004;idtA: 0.022; ;dB: 0.405; gB: 0.010;cA: 0.054; cB: 0.000:   0%|          | 56/500000 [00:33<304:43:28,  2.19s/it]
dA: 0.887; gA: 0.001;idtA: 0.026; ;dB: 0.871; gB: -0.000;cA: 0.073; cB: 0.000:   0%|          | 56/500000 [00:33<304:43:28,  2.19s/it]
dA: 0.887; gA: 0.001;idtA: 0.026; ;dB: 0.871; gB: -0.000;cA: 0.073; cB: 0.000:   0%|          | 57/500000 [00:34<302:25:53,  2.18s/it]
dA: 0.889; gA: 0.005;idtA: 0.023; ;dB: 0.234; gB: 0.016;cA: 0.065; cB: 0.000:   0%|          | 57/500000 [00:34<302:25:53,  2.18s/it] 
dA: 0.889; gA: 0.005;idtA: 0.023; ;dB: 0.234; gB: 0.016;cA: 0.065; cB: 0.000:   0%|          | 58/500000 [00:34<300:09:43,  2.16s/it]
dA: 1.053; gA: -0.006;idtA: 0.022; ;dB: 0.869; gB: 0.002;cA: 0.039; cB: 0.000:   0%|          | 58/500000 [00:34<300:09:43,  2.16s/it]
dA: 1.053; gA: -0.006;idtA: 0.022; ;dB: 0.869; gB: 0.002;cA: 0.039; cB: 0.000:   0%|          | 59/500000 [00:35<297:54:44,  2.15s/it]
dA: 0.768; gA: 0.016;idtA: 0.045; ;dB: 0.600; gB: 0.005;cA: 0.089; cB: 0.000:   0%|          | 59/500000 [00:35<297:54:44,  2.15s/it] 
dA: 0.768; gA: 0.016;idtA: 0.045; ;dB: 0.600; gB: 0.005;cA: 0.089; cB: 0.000:   0%|          | 60/500000 [00:35<295:41:07,  2.13s/it]
dA: 0.932; gA: 0.003;idtA: 0.030; ;dB: 0.519; gB: 0.015;cA: 0.080; cB: 0.000:   0%|          | 60/500000 [00:35<295:41:07,  2.13s/it]
