masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck14
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<502:38:25,  3.62s/it]
dA: 0.543; gA: 0.011;idtA: 0.028; ;dB: 0.655; gB: 0.003;cA: 0.057; cB: 0.067:   0%|          | 26/500000 [00:17<408:03:41,  2.94s/it] 
dA: 0.543; gA: 0.011;idtA: 0.028; ;dB: 0.655; gB: 0.003;cA: 0.057; cB: 0.067:   0%|          | 27/500000 [00:18<404:44:49,  2.91s/it]
dA: 0.499; gA: 0.008;idtA: 0.017; ;dB: 0.815; gB: 0.003;cA: 0.034; cB: 0.036:   0%|          | 27/500000 [00:18<404:44:49,  2.91s/it]
dA: 0.499; gA: 0.008;idtA: 0.017; ;dB: 0.815; gB: 0.003;cA: 0.034; cB: 0.036:   0%|          | 28/500000 [00:18<401:28:22,  2.89s/it]
dA: 0.628; gA: 0.006;idtA: 0.030; ;dB: 0.382; gB: 0.026;cA: 0.063; cB: 0.078:   0%|          | 28/500000 [00:18<401:28:22,  2.89s/it]
dA: 0.628; gA: 0.006;idtA: 0.030; ;dB: 0.382; gB: 0.026;cA: 0.063; cB: 0.078:   0%|          | 29/500000 [00:19<398:13:36,  2.87s/it]
dA: 0.746; gA: 0.023;idtA: 0.017; ;dB: 0.345; gB: 0.019;cA: 0.037; cB: 0.070:   0%|          | 29/500000 [00:19<398:13:36,  2.87s/it]
dA: 0.746; gA: 0.023;idtA: 0.017; ;dB: 0.345; gB: 0.019;cA: 0.037; cB: 0.070:   0%|          | 30/500000 [00:19<395:01:21,  2.84s/it]
dA: 0.572; gA: -0.009;idtA: 0.036; ;dB: 0.415; gB: -0.018;cA: 0.072; cB: 0.072:   0%|          | 30/500000 [00:19<395:01:21,  2.84s/it]
dA: 0.572; gA: -0.009;idtA: 0.036; ;dB: 0.415; gB: -0.018;cA: 0.072; cB: 0.072:   0%|          | 31/500000 [00:20<391:50:23,  2.82s/it]
dA: 0.873; gA: 0.010;idtA: 0.016; ;dB: 0.556; gB: 0.009;cA: 0.036; cB: 0.034:   0%|          | 31/500000 [00:20<391:50:23,  2.82s/it]  
dA: 0.873; gA: 0.010;idtA: 0.016; ;dB: 0.556; gB: 0.009;cA: 0.036; cB: 0.034:   0%|          | 32/500000 [00:20<388:41:10,  2.80s/it]
dA: 0.781; gA: 0.004;idtA: 0.031; ;dB: 0.472; gB: 0.013;cA: 0.048; cB: 0.039:   0%|          | 32/500000 [00:20<388:41:10,  2.80s/it]
dA: 0.781; gA: 0.004;idtA: 0.031; ;dB: 0.472; gB: 0.013;cA: 0.048; cB: 0.039:   0%|          | 33/500000 [00:21<385:33:26,  2.78s/it]
dA: 0.756; gA: 0.034;idtA: 0.037; ;dB: 0.509; gB: 0.024;cA: 0.075; cB: 0.053:   0%|          | 33/500000 [00:21<385:33:26,  2.78s/it]
dA: 0.756; gA: 0.034;idtA: 0.037; ;dB: 0.509; gB: 0.024;cA: 0.075; cB: 0.053:   0%|          | 34/500000 [00:21<382:28:20,  2.75s/it]
dA: 1.267; gA: 0.001;idtA: 0.027; ;dB: 0.603; gB: 0.011;cA: 0.052; cB: 0.068:   0%|          | 34/500000 [00:21<382:28:20,  2.75s/it]
dA: 1.267; gA: 0.001;idtA: 0.027; ;dB: 0.603; gB: 0.011;cA: 0.052; cB: 0.068:   0%|          | 35/500000 [00:22<379:24:52,  2.73s/it]
dA: 0.728; gA: 0.002;idtA: 0.019; ;dB: 0.149; gB: 0.030;cA: 0.041; cB: 0.038:   0%|          | 35/500000 [00:22<379:24:52,  2.73s/it]
dA: 0.728; gA: 0.002;idtA: 0.019; ;dB: 0.149; gB: 0.030;cA: 0.041; cB: 0.038:   0%|          | 36/500000 [00:23<376:28:21,  2.71s/it]
dA: 0.926; gA: 0.001;idtA: 0.025; ;dB: 0.402; gB: -0.009;cA: 0.048; cB: 0.037:   0%|          | 36/500000 [00:23<376:28:21,  2.71s/it]
dA: 0.926; gA: 0.001;idtA: 0.025; ;dB: 0.402; gB: -0.009;cA: 0.048; cB: 0.037:   0%|          | 37/500000 [00:23<373:33:51,  2.69s/it]
dA: 0.838; gA: -0.000;idtA: 0.030; ;dB: 0.226; gB: 0.024;cA: 0.052; cB: 0.042:   0%|          | 37/500000 [00:23<373:33:51,  2.69s/it]
dA: 0.838; gA: -0.000;idtA: 0.030; ;dB: 0.226; gB: 0.024;cA: 0.052; cB: 0.042:   0%|          | 38/500000 [00:24<370:35:02,  2.67s/it]
dA: 0.742; gA: 0.016;idtA: 0.049; ;dB: 0.593; gB: 0.026;cA: 0.116; cB: 0.101:   0%|          | 38/500000 [00:24<370:35:02,  2.67s/it] 
dA: 0.742; gA: 0.016;idtA: 0.049; ;dB: 0.593; gB: 0.026;cA: 0.116; cB: 0.101:   0%|          | 39/500000 [00:24<367:38:09,  2.65s/it]
dA: 1.364; gA: 0.002;idtA: 0.044; ;dB: 0.460; gB: 0.007;cA: 0.082; cB: 0.050:   0%|          | 39/500000 [00:24<367:38:09,  2.65s/it]
dA: 1.364; gA: 0.002;idtA: 0.044; ;dB: 0.460; gB: 0.007;cA: 0.082; cB: 0.050:   0%|          | 40/500000 [00:25<364:43:53,  2.63s/it]
dA: 0.736; gA: 0.001;idtA: 0.023; ;dB: 0.403; gB: -0.000;cA: 0.052; cB: 0.051:   0%|          | 40/500000 [00:25<364:43:53,  2.63s/it]
dA: 0.736; gA: 0.001;idtA: 0.023; ;dB: 0.403; gB: -0.000;cA: 0.052; cB: 0.051:   0%|          | 41/500000 [00:25<361:51:10,  2.61s/it]
dA: 0.352; gA: 0.013;idtA: 0.027; ;dB: 0.451; gB: 0.022;cA: 0.051; cB: 0.043:   0%|          | 41/500000 [00:25<361:51:10,  2.61s/it] 
dA: 0.352; gA: 0.013;idtA: 0.027; ;dB: 0.451; gB: 0.022;cA: 0.051; cB: 0.043:   0%|          | 42/500000 [00:26<359:00:15,  2.59s/it]
dA: 0.660; gA: -0.008;idtA: 0.030; ;dB: 0.800; gB: -0.001;cA: 0.059; cB: 0.056:   0%|          | 42/500000 [00:26<359:00:15,  2.59s/it]
dA: 0.660; gA: -0.008;idtA: 0.030; ;dB: 0.800; gB: -0.001;cA: 0.059; cB: 0.056:   0%|          | 43/500000 [00:27<356:10:51,  2.56s/it]
dA: 0.696; gA: 0.014;idtA: 0.021; ;dB: 0.480; gB: 0.028;cA: 0.039; cB: 0.038:   0%|          | 43/500000 [00:27<356:10:51,  2.56s/it]  
dA: 0.696; gA: 0.014;idtA: 0.021; ;dB: 0.480; gB: 0.028;cA: 0.039; cB: 0.038:   0%|          | 44/500000 [00:27<353:23:10,  2.54s/it]
dA: 0.607; gA: -0.001;idtA: 0.030; ;dB: 0.241; gB: 0.016;cA: 0.059; cB: 0.071:   0%|          | 44/500000 [00:27<353:23:10,  2.54s/it]
dA: 0.607; gA: -0.001;idtA: 0.030; ;dB: 0.241; gB: 0.016;cA: 0.059; cB: 0.071:   0%|          | 45/500000 [00:28<350:37:08,  2.52s/it]
dA: 0.702; gA: 0.023;idtA: 0.030; ;dB: 0.860; gB: -0.017;cA: 0.044; cB: 0.044:   0%|          | 45/500000 [00:28<350:37:08,  2.52s/it]
dA: 0.702; gA: 0.023;idtA: 0.030; ;dB: 0.860; gB: -0.017;cA: 0.044; cB: 0.044:   0%|          | 46/500000 [00:28<347:52:54,  2.50s/it]
dA: 0.699; gA: -0.011;idtA: 0.035; ;dB: 0.483; gB: 0.014;cA: 0.078; cB: 0.122:   0%|          | 46/500000 [00:28<347:52:54,  2.50s/it]
dA: 0.699; gA: -0.011;idtA: 0.035; ;dB: 0.483; gB: 0.014;cA: 0.078; cB: 0.122:   0%|          | 47/500000 [00:29<345:10:32,  2.49s/it]
dA: 0.741; gA: 0.019;idtA: 0.021; ;dB: 1.063; gB: 0.020;cA: 0.035; cB: 0.030:   0%|          | 47/500000 [00:29<345:10:32,  2.49s/it] 
dA: 0.741; gA: 0.019;idtA: 0.021; ;dB: 1.063; gB: 0.020;cA: 0.035; cB: 0.030:   0%|          | 48/500000 [00:29<342:29:54,  2.47s/it]
dA: 0.617; gA: 0.005;idtA: 0.028; ;dB: 0.157; gB: 0.010;cA: 0.064; cB: 0.063:   0%|          | 48/500000 [00:29<342:29:54,  2.47s/it]
