masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck9
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-hoover-modelspec/gen_00013.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<538:04:45,  3.87s/it]
dA: 2.087; gA: 0.017;idtA: 0.022; ;dB: 0.052; gB: 0.012;cA: 0.063; cB: 0.059:   0%|          | 33/500000 [00:26<417:02:26,  3.00s/it]
dA: 1.933; gA: -0.000;idtA: 0.024; ;dB: 1.438; gB: 0.007;cA: 0.048; cB: 0.051:   0%|          | 33/500000 [00:26<417:02:26,  3.00s/it]
dA: 1.933; gA: -0.000;idtA: 0.024; ;dB: 1.438; gB: 0.007;cA: 0.048; cB: 0.051:   0%|          | 34/500000 [00:27<413:52:51,  2.98s/it]
dA: 1.969; gA: 0.009;idtA: 0.034; ;dB: 0.311; gB: 0.008;cA: 0.072; cB: 0.086:   0%|          | 34/500000 [00:27<413:52:51,  2.98s/it] 
dA: 1.969; gA: 0.009;idtA: 0.034; ;dB: 0.311; gB: 0.008;cA: 0.072; cB: 0.086:   0%|          | 35/500000 [00:27<410:45:28,  2.96s/it]
dA: 1.580; gA: 0.003;idtA: 0.022; ;dB: 0.613; gB: 0.010;cA: 0.095; cB: 0.053:   0%|          | 35/500000 [00:27<410:45:28,  2.96s/it]
dA: 1.580; gA: 0.003;idtA: 0.022; ;dB: 0.613; gB: 0.010;cA: 0.095; cB: 0.053:   0%|          | 36/500000 [00:28<407:39:03,  2.94s/it]
dA: 2.274; gA: -0.002;idtA: 0.010; ;dB: 0.546; gB: 0.009;cA: 0.029; cB: 0.018:   0%|          | 36/500000 [00:28<407:39:03,  2.94s/it]
dA: 2.274; gA: -0.002;idtA: 0.010; ;dB: 0.546; gB: 0.009;cA: 0.029; cB: 0.018:   0%|          | 37/500000 [00:29<404:35:32,  2.91s/it]
dA: 1.968; gA: 0.016;idtA: 0.011; ;dB: 0.622; gB: 0.006;cA: 0.029; cB: 0.023:   0%|          | 37/500000 [00:29<404:35:32,  2.91s/it] 
dA: 1.968; gA: 0.016;idtA: 0.011; ;dB: 0.622; gB: 0.006;cA: 0.029; cB: 0.023:   0%|          | 38/500000 [00:30<401:29:43,  2.89s/it]
dA: 1.843; gA: 0.007;idtA: 0.019; ;dB: 0.057; gB: 0.016;cA: 0.046; cB: 0.038:   0%|          | 38/500000 [00:30<401:29:43,  2.89s/it]
dA: 1.843; gA: 0.007;idtA: 0.019; ;dB: 0.057; gB: 0.016;cA: 0.046; cB: 0.038:   0%|          | 39/500000 [00:30<398:29:41,  2.87s/it]
dA: 1.600; gA: 0.002;idtA: 0.016; ;dB: 0.194; gB: 0.008;cA: 0.042; cB: 0.039:   0%|          | 39/500000 [00:30<398:29:41,  2.87s/it]
dA: 1.600; gA: 0.002;idtA: 0.016; ;dB: 0.194; gB: 0.008;cA: 0.042; cB: 0.039:   0%|          | 40/500000 [00:31<395:27:22,  2.85s/it]
dA: 1.732; gA: 0.009;idtA: 0.020; ;dB: 0.012; gB: 0.014;cA: 0.076; cB: 0.045:   0%|          | 40/500000 [00:31<395:27:22,  2.85s/it]
dA: 1.732; gA: 0.009;idtA: 0.020; ;dB: 0.012; gB: 0.014;cA: 0.076; cB: 0.045:   0%|          | 41/500000 [00:32<392:29:55,  2.83s/it]
dA: 1.857; gA: 0.007;idtA: 0.016; ;dB: 0.857; gB: 0.006;cA: 0.036; cB: 0.032:   0%|          | 41/500000 [00:32<392:29:55,  2.83s/it]
dA: 1.857; gA: 0.007;idtA: 0.016; ;dB: 0.857; gB: 0.006;cA: 0.036; cB: 0.032:   0%|          | 42/500000 [00:32<389:31:07,  2.80s/it]
dA: 1.719; gA: 0.002;idtA: 0.029; ;dB: 0.066; gB: 0.015;cA: 0.064; cB: 0.055:   0%|          | 42/500000 [00:32<389:31:07,  2.80s/it]
dA: 1.719; gA: 0.002;idtA: 0.029; ;dB: 0.066; gB: 0.015;cA: 0.064; cB: 0.055:   0%|          | 43/500000 [00:33<386:34:40,  2.78s/it]
dA: 2.856; gA: 0.005;idtA: 0.016; ;dB: 0.920; gB: 0.017;cA: 0.034; cB: 0.032:   0%|          | 43/500000 [00:33<386:34:40,  2.78s/it]
dA: 2.856; gA: 0.005;idtA: 0.016; ;dB: 0.920; gB: 0.017;cA: 0.034; cB: 0.032:   0%|          | 44/500000 [00:34<383:44:03,  2.76s/it]
dA: 1.810; gA: 0.006;idtA: 0.021; ;dB: 1.244; gB: 0.008;cA: 0.087; cB: 0.050:   0%|          | 44/500000 [00:34<383:44:03,  2.76s/it]
dA: 1.810; gA: 0.006;idtA: 0.021; ;dB: 1.244; gB: 0.008;cA: 0.087; cB: 0.050:   0%|          | 45/500000 [00:34<380:50:11,  2.74s/it]
dA: 1.274; gA: 0.015;idtA: 0.049; ;dB: 0.003; gB: 0.015;cA: 0.055; cB: 0.091:   0%|          | 45/500000 [00:34<380:50:11,  2.74s/it]
dA: 1.274; gA: 0.015;idtA: 0.049; ;dB: 0.003; gB: 0.015;cA: 0.055; cB: 0.091:   0%|          | 46/500000 [00:35<378:02:44,  2.72s/it]
dA: 2.051; gA: 0.009;idtA: 0.018; ;dB: 0.043; gB: 0.011;cA: 0.136; cB: 0.043:   0%|          | 46/500000 [00:35<378:02:44,  2.72s/it]
dA: 2.051; gA: 0.009;idtA: 0.018; ;dB: 0.043; gB: 0.011;cA: 0.136; cB: 0.043:   0%|          | 47/500000 [00:36<375:12:17,  2.70s/it]
dA: 1.730; gA: 0.003;idtA: 0.022; ;dB: 0.231; gB: 0.015;cA: 0.101; cB: 0.081:   0%|          | 47/500000 [00:36<375:12:17,  2.70s/it]
dA: 1.730; gA: 0.003;idtA: 0.022; ;dB: 0.231; gB: 0.015;cA: 0.101; cB: 0.081:   0%|          | 48/500000 [00:37<372:28:29,  2.68s/it]
dA: 1.481; gA: 0.006;idtA: 0.016; ;dB: 0.136; gB: 0.013;cA: 0.058; cB: 0.038:   0%|          | 48/500000 [00:37<372:28:29,  2.68s/it]
dA: 1.481; gA: 0.006;idtA: 0.016; ;dB: 0.136; gB: 0.013;cA: 0.058; cB: 0.038:   0%|          | 49/500000 [00:37<369:41:06,  2.66s/it]
dA: 1.304; gA: 0.013;idtA: 0.010; ;dB: 0.838; gB: 0.018;cA: 0.096; cB: 0.033:   0%|          | 49/500000 [00:37<369:41:06,  2.66s/it]
dA: 1.304; gA: 0.013;idtA: 0.010; ;dB: 0.838; gB: 0.018;cA: 0.096; cB: 0.033:   0%|          | 50/500000 [00:38<366:55:39,  2.64s/it]
dA: 1.475; gA: 0.020;idtA: 0.023; ;dB: 0.038; gB: 0.013;cA: 0.075; cB: 0.052:   0%|          | 50/500000 [00:38<366:55:39,  2.64s/it]
dA: 1.475; gA: 0.020;idtA: 0.023; ;dB: 0.038; gB: 0.013;cA: 0.075; cB: 0.052:   0%|          | 51/500000 [00:39<364:16:25,  2.62s/it]
dA: 2.018; gA: 0.005;idtA: 0.024; ;dB: 0.534; gB: 0.010;cA: 0.059; cB: 0.053:   0%|          | 51/500000 [00:39<364:16:25,  2.62s/it]
dA: 2.018; gA: 0.005;idtA: 0.024; ;dB: 0.534; gB: 0.010;cA: 0.059; cB: 0.053:   0%|          | 52/500000 [00:39<361:34:08,  2.60s/it]
dA: 1.989; gA: 0.003;idtA: 0.018; ;dB: 0.369; gB: 0.007;cA: 0.048; cB: 0.041:   0%|          | 52/500000 [00:39<361:34:08,  2.60s/it]
dA: 1.989; gA: 0.003;idtA: 0.018; ;dB: 0.369; gB: 0.007;cA: 0.048; cB: 0.041:   0%|          | 53/500000 [00:40<358:57:53,  2.58s/it]
dA: 2.308; gA: -0.007;idtA: 0.043; ;dB: 1.006; gB: 0.008;cA: 0.079; cB: 0.084:   0%|          | 53/500000 [00:40<358:57:53,  2.58s/it]
dA: 2.308; gA: -0.007;idtA: 0.043; ;dB: 1.006; gB: 0.008;cA: 0.079; cB: 0.084:   0%|          | 54/500000 [00:41<356:18:55,  2.57s/it]
dA: 1.794; gA: 0.001;idtA: 0.015; ;dB: 0.729; gB: 0.006;cA: 0.065; cB: 0.032:   0%|          | 54/500000 [00:41<356:18:55,  2.57s/it] 
dA: 1.794; gA: 0.001;idtA: 0.015; ;dB: 0.729; gB: 0.006;cA: 0.065; cB: 0.032:   0%|          | 55/500000 [00:42<353:45:54,  2.55s/it]
dA: 2.461; gA: -0.004;idtA: 0.077; ;dB: 0.616; gB: 0.010;cA: 0.094; cB: 0.129:   0%|          | 55/500000 [00:42<353:45:54,  2.55s/it]
dA: 2.461; gA: -0.004;idtA: 0.077; ;dB: 0.616; gB: 0.010;cA: 0.094; cB: 0.129:   0%|          | 56/500000 [00:42<351:10:08,  2.53s/it]
dA: 2.140; gA: -0.004;idtA: 0.014; ;dB: 0.495; gB: 0.006;cA: 0.032; cB: 0.024:   0%|          | 56/500000 [00:42<351:10:08,  2.53s/it]
dA: 2.140; gA: -0.004;idtA: 0.014; ;dB: 0.495; gB: 0.006;cA: 0.032; cB: 0.024:   0%|          | 57/500000 [00:43<348:40:26,  2.51s/it]
dA: 1.857; gA: 0.002;idtA: 0.020; ;dB: 0.223; gB: 0.015;cA: 0.037; cB: 0.040:   0%|          | 57/500000 [00:43<348:40:26,  2.51s/it] 
dA: 1.857; gA: 0.002;idtA: 0.020; ;dB: 0.223; gB: 0.015;cA: 0.037; cB: 0.040:   0%|          | 58/500000 [00:44<346:07:43,  2.49s/it]
dA: 1.566; gA: 0.007;idtA: 0.011; ;dB: 0.085; gB: 0.011;cA: 0.034; cB: 0.035:   0%|          | 58/500000 [00:44<346:07:43,  2.49s/it]
dA: 1.566; gA: 0.007;idtA: 0.011; ;dB: 0.085; gB: 0.011;cA: 0.034; cB: 0.035:   0%|          | 59/500000 [00:44<343:40:43,  2.47s/it]
