masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck23
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<472:35:23,  3.40s/it]
dA: 1.005; gA: 0.001;; ;dB: 0.333; gB: 0.021;cA: 0.034; cB: 0.034:   0%|          | 26/500000 [00:15<382:56:17,  2.76s/it]
dA: 1.054; gA: 0.003;; ;dB: 0.456; gB: 0.006;cA: 0.078; cB: 0.117:   0%|          | 26/500000 [00:15<382:56:17,  2.76s/it]
dA: 1.054; gA: 0.003;; ;dB: 0.456; gB: 0.006;cA: 0.078; cB: 0.117:   0%|          | 27/500000 [00:16<379:47:32,  2.73s/it]
dA: 0.963; gA: -0.002;; ;dB: 0.813; gB: 0.005;cA: 0.036; cB: 0.027:   0%|          | 27/500000 [00:16<379:47:32,  2.73s/it]
dA: 0.963; gA: -0.002;; ;dB: 0.813; gB: 0.005;cA: 0.036; cB: 0.027:   0%|          | 28/500000 [00:16<376:40:46,  2.71s/it]
dA: 0.966; gA: 0.005;; ;dB: 0.387; gB: 0.031;cA: 0.061; cB: 0.084:   0%|          | 28/500000 [00:16<376:40:46,  2.71s/it] 
dA: 0.966; gA: 0.005;; ;dB: 0.387; gB: 0.031;cA: 0.061; cB: 0.084:   0%|          | 29/500000 [00:17<373:35:46,  2.69s/it]
dA: 0.950; gA: 0.002;; ;dB: 0.356; gB: 0.011;cA: 0.044; cB: 0.068:   0%|          | 29/500000 [00:17<373:35:46,  2.69s/it]
dA: 0.950; gA: 0.002;; ;dB: 0.356; gB: 0.011;cA: 0.044; cB: 0.068:   0%|          | 30/500000 [00:17<370:32:33,  2.67s/it]
dA: 0.780; gA: 0.005;; ;dB: 0.332; gB: 0.032;cA: 0.067; cB: 0.090:   0%|          | 30/500000 [00:17<370:32:33,  2.67s/it]
dA: 0.780; gA: 0.005;; ;dB: 0.332; gB: 0.032;cA: 0.067; cB: 0.090:   0%|          | 31/500000 [00:18<367:31:16,  2.65s/it]
dA: 1.004; gA: -0.005;; ;dB: 0.766; gB: -0.004;cA: 0.031; cB: 0.027:   0%|          | 31/500000 [00:18<367:31:16,  2.65s/it]
dA: 1.004; gA: -0.005;; ;dB: 0.766; gB: -0.004;cA: 0.031; cB: 0.027:   0%|          | 32/500000 [00:18<364:31:47,  2.62s/it]
dA: 0.953; gA: 0.000;; ;dB: 0.450; gB: 0.014;cA: 0.047; cB: 0.035:   0%|          | 32/500000 [00:18<364:31:47,  2.62s/it]  
dA: 0.953; gA: 0.000;; ;dB: 0.450; gB: 0.014;cA: 0.047; cB: 0.035:   0%|          | 33/500000 [00:19<361:33:54,  2.60s/it]
dA: 0.806; gA: 0.017;; ;dB: 0.275; gB: 0.013;cA: 0.073; cB: 0.052:   0%|          | 33/500000 [00:19<361:33:54,  2.60s/it]
dA: 0.806; gA: 0.017;; ;dB: 0.275; gB: 0.013;cA: 0.073; cB: 0.052:   0%|          | 34/500000 [00:19<358:37:58,  2.58s/it]
dA: 1.002; gA: -0.004;; ;dB: 0.474; gB: -0.001;cA: 0.047; cB: 0.063:   0%|          | 34/500000 [00:19<358:37:58,  2.58s/it]
dA: 1.002; gA: -0.004;; ;dB: 0.474; gB: -0.001;cA: 0.047; cB: 0.063:   0%|          | 35/500000 [00:20<355:43:45,  2.56s/it]
dA: 0.946; gA: 0.006;; ;dB: 0.324; gB: 0.023;cA: 0.068; cB: 0.067:   0%|          | 35/500000 [00:20<355:43:45,  2.56s/it]  
dA: 0.946; gA: 0.006;; ;dB: 0.324; gB: 0.023;cA: 0.068; cB: 0.067:   0%|          | 36/500000 [00:20<352:51:19,  2.54s/it]
dA: 0.911; gA: -0.003;; ;dB: 0.769; gB: 0.005;cA: 0.059; cB: 0.036:   0%|          | 36/500000 [00:20<352:51:19,  2.54s/it]
dA: 0.911; gA: -0.003;; ;dB: 0.769; gB: 0.005;cA: 0.059; cB: 0.036:   0%|          | 37/500000 [00:21<350:00:35,  2.52s/it]
dA: 0.875; gA: 0.001;; ;dB: 0.152; gB: 0.016;cA: 0.085; cB: 0.073:   0%|          | 37/500000 [00:21<350:00:35,  2.52s/it] 
dA: 0.875; gA: 0.001;; ;dB: 0.152; gB: 0.016;cA: 0.085; cB: 0.073:   0%|          | 38/500000 [00:21<347:11:34,  2.50s/it]
dA: 0.974; gA: 0.001;; ;dB: 0.301; gB: 0.024;cA: 0.099; cB: 0.063:   0%|          | 38/500000 [00:21<347:11:34,  2.50s/it]
dA: 0.974; gA: 0.001;; ;dB: 0.301; gB: 0.024;cA: 0.099; cB: 0.063:   0%|          | 39/500000 [00:22<344:24:20,  2.48s/it]
dA: 0.965; gA: 0.003;; ;dB: 0.487; gB: 0.016;cA: 0.066; cB: 0.048:   0%|          | 39/500000 [00:22<344:24:20,  2.48s/it]
dA: 0.965; gA: 0.003;; ;dB: 0.487; gB: 0.016;cA: 0.066; cB: 0.048:   0%|          | 40/500000 [00:22<341:39:05,  2.46s/it]
dA: 0.984; gA: 0.003;; ;dB: 0.608; gB: -0.004;cA: 0.051; cB: 0.053:   0%|          | 40/500000 [00:22<341:39:05,  2.46s/it]
dA: 0.984; gA: 0.003;; ;dB: 0.608; gB: -0.004;cA: 0.051; cB: 0.053:   0%|          | 41/500000 [00:23<338:55:01,  2.44s/it]
dA: 0.837; gA: -0.004;; ;dB: 0.154; gB: 0.017;cA: 0.057; cB: 0.041:   0%|          | 41/500000 [00:23<338:55:01,  2.44s/it]
dA: 0.837; gA: -0.004;; ;dB: 0.154; gB: 0.017;cA: 0.057; cB: 0.041:   0%|          | 42/500000 [00:23<336:12:47,  2.42s/it]
dA: 0.931; gA: -0.000;; ;dB: 0.630; gB: -0.000;cA: 0.065; cB: 0.062:   0%|          | 42/500000 [00:23<336:12:47,  2.42s/it]
dA: 0.931; gA: -0.000;; ;dB: 0.630; gB: -0.000;cA: 0.065; cB: 0.062:   0%|          | 43/500000 [00:24<333:32:08,  2.40s/it]
dA: 1.043; gA: 0.009;; ;dB: 0.728; gB: 0.031;cA: 0.056; cB: 0.045:   0%|          | 43/500000 [00:24<333:32:08,  2.40s/it]  
dA: 1.043; gA: 0.009;; ;dB: 0.728; gB: 0.031;cA: 0.056; cB: 0.045:   0%|          | 44/500000 [00:24<330:53:01,  2.38s/it]
dA: 0.968; gA: -0.002;; ;dB: 0.279; gB: 0.018;cA: 0.082; cB: 0.100:   0%|          | 44/500000 [00:24<330:53:01,  2.38s/it]
dA: 0.968; gA: -0.002;; ;dB: 0.279; gB: 0.018;cA: 0.082; cB: 0.100:   0%|          | 45/500000 [00:25<328:15:27,  2.36s/it]
dA: 0.836; gA: -0.001;; ;dB: 0.518; gB: -0.002;cA: 0.060; cB: 0.078:   0%|          | 45/500000 [00:25<328:15:27,  2.36s/it]
dA: 0.836; gA: -0.001;; ;dB: 0.518; gB: -0.002;cA: 0.060; cB: 0.078:   0%|          | 46/500000 [00:25<325:39:30,  2.34s/it]
dA: 1.301; gA: 0.003;; ;dB: 0.460; gB: 0.031;cA: 0.089; cB: 0.160:   0%|          | 46/500000 [00:25<325:39:30,  2.34s/it]  
dA: 1.301; gA: 0.003;; ;dB: 0.460; gB: 0.031;cA: 0.089; cB: 0.160:   0%|          | 47/500000 [00:26<323:05:02,  2.33s/it]
dA: 0.922; gA: 0.003;; ;dB: 0.750; gB: 0.012;cA: 0.051; cB: 0.037:   0%|          | 47/500000 [00:26<323:05:02,  2.33s/it]
dA: 0.922; gA: 0.003;; ;dB: 0.750; gB: 0.012;cA: 0.051; cB: 0.037:   0%|          | 48/500000 [00:26<320:32:11,  2.31s/it]
dA: 0.828; gA: 0.003;; ;dB: 0.282; gB: 0.005;cA: 0.077; cB: 0.086:   0%|          | 48/500000 [00:26<320:32:11,  2.31s/it]
