masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck11
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<545:30:48,  3.93s/it]
dA: 0.988; gA: -0.001;idtA: 0.015; ;dB: 0.364; gB: 0.001;cA: 0.031; cB: 0.025:   0%|          | 21/500000 [00:15<460:21:22,  3.31s/it]
dA: 0.988; gA: -0.001;idtA: 0.015; ;dB: 0.364; gB: 0.001;cA: 0.031; cB: 0.025:   0%|          | 22/500000 [00:15<456:36:50,  3.29s/it]
dA: 0.972; gA: 0.004;idtA: 0.024; ;dB: 0.161; gB: 0.022;cA: 0.084; cB: 0.055:   0%|          | 22/500000 [00:15<456:36:50,  3.29s/it] 
dA: 0.972; gA: 0.004;idtA: 0.024; ;dB: 0.161; gB: 0.022;cA: 0.084; cB: 0.055:   0%|          | 23/500000 [00:16<452:51:48,  3.26s/it]
dA: 0.901; gA: 0.003;idtA: 0.026; ;dB: 0.077; gB: 0.014;cA: 0.078; cB: 0.078:   0%|          | 23/500000 [00:16<452:51:48,  3.26s/it]
dA: 0.901; gA: 0.003;idtA: 0.026; ;dB: 0.077; gB: 0.014;cA: 0.078; cB: 0.078:   0%|          | 24/500000 [00:16<449:08:44,  3.23s/it]
dA: 1.043; gA: 0.003;idtA: 0.023; ;dB: 0.275; gB: 0.024;cA: 0.082; cB: 0.049:   0%|          | 24/500000 [00:16<449:08:44,  3.23s/it]
dA: 1.043; gA: 0.003;idtA: 0.023; ;dB: 0.275; gB: 0.024;cA: 0.082; cB: 0.049:   0%|          | 25/500000 [00:17<445:27:20,  3.21s/it]
dA: 0.879; gA: 0.005;idtA: 0.014; ;dB: 0.451; gB: 0.012;cA: 0.027; cB: 0.026:   0%|          | 25/500000 [00:17<445:27:20,  3.21s/it]
dA: 0.879; gA: 0.005;idtA: 0.014; ;dB: 0.451; gB: 0.012;cA: 0.027; cB: 0.026:   0%|          | 26/500000 [00:18<441:47:51,  3.18s/it]
dA: 1.061; gA: 0.001;idtA: 0.025; ;dB: 0.416; gB: 0.008;cA: 0.096; cB: 0.096:   0%|          | 26/500000 [00:18<441:47:51,  3.18s/it]
dA: 1.061; gA: 0.001;idtA: 0.025; ;dB: 0.416; gB: 0.008;cA: 0.096; cB: 0.096:   0%|          | 27/500000 [00:18<438:11:17,  3.16s/it]
dA: 0.978; gA: -0.005;idtA: 0.015; ;dB: 0.670; gB: 0.001;cA: 0.035; cB: 0.033:   0%|          | 27/500000 [00:18<438:11:17,  3.16s/it]
dA: 0.978; gA: -0.005;idtA: 0.015; ;dB: 0.670; gB: 0.001;cA: 0.035; cB: 0.033:   0%|          | 28/500000 [00:19<434:35:35,  3.13s/it]
dA: 0.887; gA: 0.003;idtA: 0.031; ;dB: 0.224; gB: 0.023;cA: 0.081; cB: 0.094:   0%|          | 28/500000 [00:19<434:35:35,  3.13s/it] 
dA: 0.887; gA: 0.003;idtA: 0.031; ;dB: 0.224; gB: 0.023;cA: 0.081; cB: 0.094:   0%|          | 29/500000 [00:19<431:04:34,  3.10s/it]
