masks are: empty
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck13
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:01:30,  3.51s/it]
dA: 0.620; gA: 0.004;idtA: 0.035; ;dB: 0.192; gB: 0.024;cA: 0.057; cB: 0.049:   0%|          | 31/500000 [00:20<380:14:18,  2.74s/it]
dA: 0.889; gA: -0.003;idtA: 0.022; ;dB: 0.571; gB: 0.012;cA: 0.035; cB: 0.034:   0%|          | 31/500000 [00:20<380:14:18,  2.74s/it]
dA: 0.889; gA: -0.003;idtA: 0.022; ;dB: 0.571; gB: 0.012;cA: 0.035; cB: 0.034:   0%|          | 32/500000 [00:20<377:12:10,  2.72s/it]
dA: 0.701; gA: 0.011;idtA: 0.024; ;dB: 0.852; gB: 0.007;cA: 0.042; cB: 0.040:   0%|          | 32/500000 [00:20<377:12:10,  2.72s/it] 
dA: 0.701; gA: 0.011;idtA: 0.024; ;dB: 0.852; gB: 0.007;cA: 0.042; cB: 0.040:   0%|          | 33/500000 [00:21<374:11:44,  2.69s/it]
dA: 0.432; gA: 0.024;idtA: 0.027; ;dB: 0.356; gB: 0.019;cA: 0.051; cB: 0.037:   0%|          | 33/500000 [00:21<374:11:44,  2.69s/it]
dA: 0.432; gA: 0.024;idtA: 0.027; ;dB: 0.356; gB: 0.019;cA: 0.051; cB: 0.037:   0%|          | 34/500000 [00:21<371:12:29,  2.67s/it]
dA: 0.877; gA: -0.016;idtA: 0.024; ;dB: 0.476; gB: 0.008;cA: 0.049; cB: 0.035:   0%|          | 34/500000 [00:21<371:12:29,  2.67s/it]
dA: 0.877; gA: -0.016;idtA: 0.024; ;dB: 0.476; gB: 0.008;cA: 0.049; cB: 0.035:   0%|          | 35/500000 [00:22<368:17:38,  2.65s/it]
dA: 0.984; gA: 0.011;idtA: 0.023; ;dB: 1.075; gB: 0.021;cA: 0.046; cB: 0.045:   0%|          | 35/500000 [00:22<368:17:38,  2.65s/it] 
dA: 0.984; gA: 0.011;idtA: 0.023; ;dB: 1.075; gB: 0.021;cA: 0.046; cB: 0.045:   0%|          | 36/500000 [00:22<365:27:58,  2.63s/it]
dA: 0.656; gA: 0.006;idtA: 0.018; ;dB: 0.921; gB: 0.005;cA: 0.028; cB: 0.024:   0%|          | 36/500000 [00:22<365:27:58,  2.63s/it]
dA: 0.656; gA: 0.006;idtA: 0.018; ;dB: 0.921; gB: 0.005;cA: 0.028; cB: 0.024:   0%|          | 37/500000 [00:23<362:38:31,  2.61s/it]
dA: 0.688; gA: 0.009;idtA: 0.026; ;dB: 0.101; gB: 0.020;cA: 0.048; cB: 0.038:   0%|          | 37/500000 [00:23<362:38:31,  2.61s/it]
dA: 0.688; gA: 0.009;idtA: 0.026; ;dB: 0.101; gB: 0.020;cA: 0.048; cB: 0.038:   0%|          | 38/500000 [00:24<359:46:52,  2.59s/it]
dA: 0.625; gA: 0.013;idtA: 0.034; ;dB: 0.253; gB: 0.021;cA: 0.068; cB: 0.047:   0%|          | 38/500000 [00:24<359:46:52,  2.59s/it]
dA: 0.625; gA: 0.013;idtA: 0.034; ;dB: 0.253; gB: 0.021;cA: 0.068; cB: 0.047:   0%|          | 39/500000 [00:24<356:56:46,  2.57s/it]
dA: 0.432; gA: 0.010;idtA: 0.027; ;dB: 0.203; gB: 0.016;cA: 0.050; cB: 0.034:   0%|          | 39/500000 [00:24<356:56:46,  2.57s/it]
dA: 0.432; gA: 0.010;idtA: 0.027; ;dB: 0.203; gB: 0.016;cA: 0.050; cB: 0.034:   0%|          | 40/500000 [00:25<354:08:20,  2.55s/it]
dA: 0.664; gA: 0.008;idtA: 0.022; ;dB: 0.211; gB: 0.008;cA: 0.040; cB: 0.030:   0%|          | 40/500000 [00:25<354:08:20,  2.55s/it]
dA: 0.664; gA: 0.008;idtA: 0.022; ;dB: 0.211; gB: 0.008;cA: 0.040; cB: 0.030:   0%|          | 41/500000 [00:25<351:21:47,  2.53s/it]
dA: 0.789; gA: -0.006;idtA: 0.021; ;dB: 0.043; gB: 0.012;cA: 0.040; cB: 0.030:   0%|          | 41/500000 [00:25<351:21:47,  2.53s/it]
dA: 0.789; gA: -0.006;idtA: 0.021; ;dB: 0.043; gB: 0.012;cA: 0.040; cB: 0.030:   0%|          | 42/500000 [00:26<348:37:01,  2.51s/it]
dA: 0.695; gA: 0.012;idtA: 0.028; ;dB: 0.120; gB: 0.028;cA: 0.054; cB: 0.037:   0%|          | 42/500000 [00:26<348:37:01,  2.51s/it] 
dA: 0.695; gA: 0.012;idtA: 0.028; ;dB: 0.120; gB: 0.028;cA: 0.054; cB: 0.037:   0%|          | 43/500000 [00:26<345:53:01,  2.49s/it]
dA: 0.924; gA: 0.001;idtA: 0.016; ;dB: 0.290; gB: 0.017;cA: 0.030; cB: 0.027:   0%|          | 43/500000 [00:26<345:53:01,  2.49s/it]
dA: 0.924; gA: 0.001;idtA: 0.016; ;dB: 0.290; gB: 0.017;cA: 0.030; cB: 0.027:   0%|          | 44/500000 [00:27<343:11:24,  2.47s/it]
dA: 0.483; gA: 0.013;idtA: 0.028; ;dB: 0.268; gB: 0.013;cA: 0.051; cB: 0.038:   0%|          | 44/500000 [00:27<343:11:24,  2.47s/it]
dA: 0.483; gA: 0.013;idtA: 0.028; ;dB: 0.268; gB: 0.013;cA: 0.051; cB: 0.038:   0%|          | 45/500000 [00:27<340:31:26,  2.45s/it]
dA: 0.699; gA: 0.027;idtA: 0.025; ;dB: 0.188; gB: 0.018;cA: 0.045; cB: 0.041:   0%|          | 45/500000 [00:27<340:31:26,  2.45s/it]
dA: 0.699; gA: 0.027;idtA: 0.025; ;dB: 0.188; gB: 0.018;cA: 0.045; cB: 0.041:   0%|          | 46/500000 [00:28<337:52:57,  2.43s/it]
dA: 0.146; gA: 0.018;idtA: 0.039; ;dB: 0.048; gB: 0.020;cA: 0.079; cB: 0.054:   0%|          | 46/500000 [00:28<337:52:57,  2.43s/it]
dA: 0.146; gA: 0.018;idtA: 0.039; ;dB: 0.048; gB: 0.020;cA: 0.079; cB: 0.054:   0%|          | 47/500000 [00:29<335:16:02,  2.41s/it]
dA: 0.489; gA: 0.004;idtA: 0.027; ;dB: 0.406; gB: 0.029;cA: 0.053; cB: 0.041:   0%|          | 47/500000 [00:29<335:16:02,  2.41s/it]
dA: 0.489; gA: 0.004;idtA: 0.027; ;dB: 0.406; gB: 0.029;cA: 0.053; cB: 0.041:   0%|          | 48/500000 [00:29<332:40:46,  2.40s/it]
dA: 0.578; gA: 0.016;idtA: 0.033; ;dB: 0.740; gB: -0.003;cA: 0.063; cB: 0.043:   0%|          | 48/500000 [00:29<332:40:46,  2.40s/it]
dA: 0.578; gA: 0.016;idtA: 0.033; ;dB: 0.740; gB: -0.003;cA: 0.063; cB: 0.043:   0%|          | 49/500000 [00:30<330:06:42,  2.38s/it]
dA: 0.565; gA: -0.009;idtA: 0.030; ;dB: 0.661; gB: 0.016;cA: 0.062; cB: 0.042:   0%|          | 49/500000 [00:30<330:06:42,  2.38s/it]
dA: 0.565; gA: -0.009;idtA: 0.030; ;dB: 0.661; gB: 0.016;cA: 0.062; cB: 0.042:   0%|          | 50/500000 [00:30<327:34:55,  2.36s/it]
dA: 0.463; gA: 0.017;idtA: 0.023; ;dB: 0.293; gB: 0.015;cA: 0.043; cB: 0.040:   0%|          | 50/500000 [00:30<327:34:55,  2.36s/it] 
dA: 0.463; gA: 0.017;idtA: 0.023; ;dB: 0.293; gB: 0.015;cA: 0.043; cB: 0.040:   0%|          | 51/500000 [00:31<325:04:41,  2.34s/it]
dA: 0.695; gA: 0.010;idtA: 0.034; ;dB: 0.079; gB: 0.015;cA: 0.070; cB: 0.053:   0%|          | 51/500000 [00:31<325:04:41,  2.34s/it]
dA: 0.695; gA: 0.010;idtA: 0.034; ;dB: 0.079; gB: 0.015;cA: 0.070; cB: 0.053:   0%|          | 52/500000 [00:31<322:35:23,  2.32s/it]
dA: 0.689; gA: 0.006;idtA: 0.025; ;dB: 0.788; gB: 0.005;cA: 0.040; cB: 0.034:   0%|          | 52/500000 [00:31<322:35:23,  2.32s/it]
dA: 0.689; gA: 0.006;idtA: 0.025; ;dB: 0.788; gB: 0.005;cA: 0.040; cB: 0.034:   0%|          | 53/500000 [00:32<320:07:40,  2.31s/it]
dA: 0.812; gA: 0.008;idtA: 0.037; ;dB: 0.583; gB: 0.014;cA: 0.046; cB: 0.042:   0%|          | 53/500000 [00:32<320:07:40,  2.31s/it]
dA: 0.812; gA: 0.008;idtA: 0.037; ;dB: 0.583; gB: 0.014;cA: 0.046; cB: 0.042:   0%|          | 54/500000 [00:32<317:41:28,  2.29s/it]
dA: 1.402; gA: -0.012;idtA: 0.043; ;dB: 0.288; gB: 0.019;cA: 0.081; cB: 0.075:   0%|          | 54/500000 [00:32<317:41:28,  2.29s/it]
dA: 1.402; gA: -0.012;idtA: 0.043; ;dB: 0.288; gB: 0.019;cA: 0.081; cB: 0.075:   0%|          | 55/500000 [00:33<315:16:19,  2.27s/it]
dA: 1.173; gA: -0.000;idtA: 0.022; ;dB: 0.645; gB: 0.008;cA: 0.044; cB: 0.039:   0%|          | 55/500000 [00:33<315:16:19,  2.27s/it]
dA: 1.173; gA: -0.000;idtA: 0.022; ;dB: 0.645; gB: 0.008;cA: 0.044; cB: 0.039:   0%|          | 56/500000 [00:34<312:52:56,  2.25s/it]
dA: 0.351; gA: 0.030;idtA: 0.033; ;dB: 0.658; gB: 0.024;cA: 0.057; cB: 0.050:   0%|          | 56/500000 [00:34<312:52:56,  2.25s/it] 
dA: 0.351; gA: 0.030;idtA: 0.033; ;dB: 0.658; gB: 0.024;cA: 0.057; cB: 0.050:   0%|          | 57/500000 [00:34<310:30:59,  2.24s/it]
dA: 1.173; gA: -0.006;idtA: 0.035; ;dB: 0.237; gB: 0.012;cA: 0.066; cB: 0.049:   0%|          | 57/500000 [00:34<310:30:59,  2.24s/it]
dA: 1.173; gA: -0.006;idtA: 0.035; ;dB: 0.237; gB: 0.012;cA: 0.066; cB: 0.049:   0%|          | 58/500000 [00:35<308:10:27,  2.22s/it]
dA: 0.792; gA: 0.003;idtA: 0.025; ;dB: 0.823; gB: 0.010;cA: 0.037; cB: 0.033:   0%|          | 58/500000 [00:35<308:10:27,  2.22s/it] 
dA: 0.792; gA: 0.003;idtA: 0.025; ;dB: 0.823; gB: 0.010;cA: 0.037; cB: 0.033:   0%|          | 59/500000 [00:35<305:51:31,  2.20s/it]
dA: 0.949; gA: 0.012;idtA: 0.031; ;dB: 0.610; gB: 0.013;cA: 0.055; cB: 0.049:   0%|          | 59/500000 [00:35<305:51:31,  2.20s/it]
dA: 0.949; gA: 0.012;idtA: 0.031; ;dB: 0.610; gB: 0.013;cA: 0.055; cB: 0.049:   0%|          | 60/500000 [00:36<303:34:05,  2.19s/it]
dA: 0.843; gA: 0.004;idtA: 0.025; ;dB: 0.336; gB: 0.009;cA: 0.048; cB: 0.039:   0%|          | 60/500000 [00:36<303:34:05,  2.19s/it]
dA: 0.843; gA: 0.004;idtA: 0.025; ;dB: 0.336; gB: 0.009;cA: 0.048; cB: 0.039:   0%|          | 61/500000 [00:36<301:17:36,  2.17s/it]
dA: 0.558; gA: 0.008;idtA: 0.026; ;dB: 0.159; gB: 0.023;cA: 0.054; cB: 0.040:   0%|          | 61/500000 [00:36<301:17:36,  2.17s/it]
dA: 0.558; gA: 0.008;idtA: 0.026; ;dB: 0.159; gB: 0.023;cA: 0.054; cB: 0.040:   0%|          | 62/500000 [00:37<299:02:14,  2.15s/it]
dA: 0.772; gA: 0.007;idtA: 0.015; ;dB: 0.471; gB: 0.011;cA: 0.027; cB: 0.021:   0%|          | 62/500000 [00:37<299:02:14,  2.15s/it]
dA: 0.772; gA: 0.007;idtA: 0.015; ;dB: 0.471; gB: 0.011;cA: 0.027; cB: 0.021:   0%|          | 63/500000 [00:37<296:49:16,  2.14s/it]
dA: 0.669; gA: 0.010;idtA: 0.035; ;dB: 0.426; gB: 0.019;cA: 0.055; cB: 0.052:   0%|          | 63/500000 [00:37<296:49:16,  2.14s/it]
dA: 0.669; gA: 0.010;idtA: 0.035; ;dB: 0.426; gB: 0.019;cA: 0.055; cB: 0.052:   0%|          | 64/500000 [00:38<294:37:14,  2.12s/it]
dA: 0.592; gA: -0.006;idtA: 0.034; ;dB: 0.152; gB: 0.019;cA: 0.071; cB: 0.056:   0%|          | 64/500000 [00:38<294:37:14,  2.12s/it]
dA: 0.592; gA: -0.006;idtA: 0.034; ;dB: 0.152; gB: 0.019;cA: 0.071; cB: 0.056:   0%|          | 65/500000 [00:38<292:26:24,  2.11s/it]
dA: 1.035; gA: 0.006;idtA: 0.029; ;dB: 0.308; gB: 0.009;cA: 0.050; cB: 0.047:   0%|          | 65/500000 [00:38<292:26:24,  2.11s/it] 
dA: 1.035; gA: 0.006;idtA: 0.029; ;dB: 0.308; gB: 0.009;cA: 0.050; cB: 0.047:   0%|          | 66/500000 [00:39<290:16:50,  2.09s/it]
dA: 0.565; gA: 0.012;idtA: 0.030; ;dB: 0.150; gB: 0.019;cA: 0.054; cB: 0.042:   0%|          | 66/500000 [00:39<290:16:50,  2.09s/it]
dA: 0.565; gA: 0.012;idtA: 0.030; ;dB: 0.150; gB: 0.019;cA: 0.054; cB: 0.042:   0%|          | 67/500000 [00:40<288:08:23,  2.07s/it]
dA: 0.891; gA: -0.001;idtA: 0.018; ;dB: 0.248; gB: 0.017;cA: 0.029; cB: 0.023:   0%|          | 67/500000 [00:40<288:08:23,  2.07s/it]
