masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck18
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<537:14:57,  3.87s/it]
dA: 0.891; gA: 0.008;idtA: 0.028; ;dB: 0.184; gB: 0.017;cA: 0.000; cB: 0.046:   0%|          | 35/500000 [00:22<403:41:53,  2.91s/it]
dA: 0.891; gA: 0.008;idtA: 0.028; ;dB: 0.184; gB: 0.017;cA: 0.000; cB: 0.046:   0%|          | 36/500000 [00:23<400:29:58,  2.88s/it]
dA: 0.868; gA: 0.005;idtA: 0.023; ;dB: 0.208; gB: 0.015;cA: 0.000; cB: 0.038:   0%|          | 36/500000 [00:23<400:29:58,  2.88s/it]
dA: 0.868; gA: 0.005;idtA: 0.023; ;dB: 0.208; gB: 0.015;cA: 0.000; cB: 0.038:   0%|          | 37/500000 [00:23<397:19:12,  2.86s/it]
dA: 0.739; gA: -0.013;idtA: 0.029; ;dB: 0.113; gB: 0.014;cA: 0.000; cB: 0.049:   0%|          | 37/500000 [00:23<397:19:12,  2.86s/it]
dA: 0.739; gA: -0.013;idtA: 0.029; ;dB: 0.113; gB: 0.014;cA: 0.000; cB: 0.049:   0%|          | 38/500000 [00:24<394:05:39,  2.84s/it]
dA: 0.963; gA: 0.021;idtA: 0.038; ;dB: 0.261; gB: 0.022;cA: 0.000; cB: 0.076:   0%|          | 38/500000 [00:24<394:05:39,  2.84s/it] 
dA: 0.963; gA: 0.021;idtA: 0.038; ;dB: 0.261; gB: 0.022;cA: 0.000; cB: 0.076:   0%|          | 39/500000 [00:24<390:54:02,  2.81s/it]
dA: 1.131; gA: 0.010;idtA: 0.035; ;dB: 0.231; gB: 0.018;cA: 0.000; cB: 0.053:   0%|          | 39/500000 [00:24<390:54:02,  2.81s/it]
dA: 1.131; gA: 0.010;idtA: 0.035; ;dB: 0.231; gB: 0.018;cA: 0.000; cB: 0.053:   0%|          | 40/500000 [00:25<387:44:36,  2.79s/it]
dA: 0.816; gA: 0.000;idtA: 0.026; ;dB: 0.226; gB: 0.001;cA: 0.000; cB: 0.041:   0%|          | 40/500000 [00:25<387:44:36,  2.79s/it]
dA: 0.816; gA: 0.000;idtA: 0.026; ;dB: 0.226; gB: 0.001;cA: 0.000; cB: 0.041:   0%|          | 41/500000 [00:25<384:37:21,  2.77s/it]
dA: 0.779; gA: 0.000;idtA: 0.025; ;dB: 0.160; gB: 0.025;cA: 0.000; cB: 0.041:   0%|          | 41/500000 [00:25<384:37:21,  2.77s/it]
dA: 0.779; gA: 0.000;idtA: 0.025; ;dB: 0.160; gB: 0.025;cA: 0.000; cB: 0.041:   0%|          | 42/500000 [00:26<381:31:35,  2.75s/it]
dA: 1.026; gA: -0.004;idtA: 0.026; ;dB: 0.492; gB: -0.008;cA: 0.000; cB: 0.062:   0%|          | 42/500000 [00:26<381:31:35,  2.75s/it]
dA: 1.026; gA: -0.004;idtA: 0.026; ;dB: 0.492; gB: -0.008;cA: 0.000; cB: 0.062:   0%|          | 43/500000 [00:26<378:27:41,  2.73s/it]
dA: 1.020; gA: 0.003;idtA: 0.017; ;dB: 1.419; gB: 0.024;cA: 0.000; cB: 0.036:   0%|          | 43/500000 [00:26<378:27:41,  2.73s/it]  
dA: 1.020; gA: 0.003;idtA: 0.017; ;dB: 1.419; gB: 0.024;cA: 0.000; cB: 0.036:   0%|          | 44/500000 [00:27<375:26:02,  2.70s/it]
dA: 0.903; gA: -0.001;idtA: 0.025; ;dB: 0.245; gB: 0.013;cA: 0.000; cB: 0.060:   0%|          | 44/500000 [00:27<375:26:02,  2.70s/it]
dA: 0.903; gA: -0.001;idtA: 0.025; ;dB: 0.245; gB: 0.013;cA: 0.000; cB: 0.060:   0%|          | 45/500000 [00:27<372:26:16,  2.68s/it]
dA: 0.866; gA: 0.003;idtA: 0.030; ;dB: 0.686; gB: 0.004;cA: 0.000; cB: 0.066:   0%|          | 45/500000 [00:27<372:26:16,  2.68s/it] 
dA: 0.866; gA: 0.003;idtA: 0.030; ;dB: 0.686; gB: 0.004;cA: 0.000; cB: 0.066:   0%|          | 46/500000 [00:28<369:27:58,  2.66s/it]
dA: 0.849; gA: 0.005;idtA: 0.036; ;dB: 0.345; gB: 0.026;cA: 0.000; cB: 0.118:   0%|          | 46/500000 [00:28<369:27:58,  2.66s/it]
dA: 0.849; gA: 0.005;idtA: 0.036; ;dB: 0.345; gB: 0.026;cA: 0.000; cB: 0.118:   0%|          | 47/500000 [00:29<366:31:26,  2.64s/it]
dA: 0.979; gA: 0.002;idtA: 0.020; ;dB: 0.794; gB: 0.005;cA: 0.000; cB: 0.034:   0%|          | 47/500000 [00:29<366:31:26,  2.64s/it]
dA: 0.979; gA: 0.002;idtA: 0.020; ;dB: 0.794; gB: 0.005;cA: 0.000; cB: 0.034:   0%|          | 48/500000 [00:29<363:36:47,  2.62s/it]
dA: 0.929; gA: 0.006;idtA: 0.028; ;dB: 0.454; gB: 0.020;cA: 0.000; cB: 0.040:   0%|          | 48/500000 [00:29<363:36:47,  2.62s/it]
dA: 0.929; gA: 0.006;idtA: 0.028; ;dB: 0.454; gB: 0.020;cA: 0.000; cB: 0.040:   0%|          | 49/500000 [00:30<360:43:41,  2.60s/it]
dA: 1.062; gA: 0.000;idtA: 0.028; ;dB: 0.448; gB: -0.001;cA: 0.000; cB: 0.116:   0%|          | 49/500000 [00:30<360:43:41,  2.60s/it]
dA: 1.062; gA: 0.000;idtA: 0.028; ;dB: 0.448; gB: -0.001;cA: 0.000; cB: 0.116:   0%|          | 50/500000 [00:30<357:52:28,  2.58s/it]
dA: 1.009; gA: 0.002;idtA: 0.019; ;dB: 0.338; gB: 0.022;cA: 0.000; cB: 0.036:   0%|          | 50/500000 [00:30<357:52:28,  2.58s/it] 
dA: 1.009; gA: 0.002;idtA: 0.019; ;dB: 0.338; gB: 0.022;cA: 0.000; cB: 0.036:   0%|          | 51/500000 [00:31<355:03:40,  2.56s/it]
dA: 0.997; gA: 0.011;idtA: 0.026; ;dB: 0.188; gB: 0.011;cA: 0.000; cB: 0.042:   0%|          | 51/500000 [00:31<355:03:40,  2.56s/it]
dA: 0.997; gA: 0.011;idtA: 0.026; ;dB: 0.188; gB: 0.011;cA: 0.000; cB: 0.042:   0%|          | 52/500000 [00:31<352:15:47,  2.54s/it]
dA: 1.031; gA: -0.003;idtA: 0.041; ;dB: 0.851; gB: 0.012;cA: 0.000; cB: 0.063:   0%|          | 52/500000 [00:31<352:15:47,  2.54s/it]
dA: 1.031; gA: -0.003;idtA: 0.041; ;dB: 0.851; gB: 0.012;cA: 0.000; cB: 0.063:   0%|          | 53/500000 [00:32<349:29:47,  2.52s/it]
dA: 0.995; gA: 0.002;idtA: 0.051; ;dB: 0.493; gB: 0.016;cA: 0.000; cB: 0.090:   0%|          | 53/500000 [00:32<349:29:47,  2.52s/it] 
