masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck10
Warnning: There is no trained model found. An initialized model will be used.
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<518:00:09,  3.73s/it]
dA: 4.210; gA: -0.010;idtA: 0.023; ;dB: 1.480; gB: 0.002;cA: 0.039; cB: 0.032:   0%|          | 21/500000 [00:17<440:53:44,  3.17s/it]
dA: 4.210; gA: -0.010;idtA: 0.023; ;dB: 1.480; gB: 0.002;cA: 0.039; cB: 0.032:   0%|          | 22/500000 [00:18<437:25:43,  3.15s/it]
dA: 2.062; gA: 0.008;idtA: 0.035; ;dB: 0.438; gB: 0.017;cA: 0.067; cB: 0.056:   0%|          | 22/500000 [00:18<437:25:43,  3.15s/it] 
dA: 2.062; gA: 0.008;idtA: 0.035; ;dB: 0.438; gB: 0.017;cA: 0.067; cB: 0.056:   0%|          | 23/500000 [00:18<434:05:28,  3.13s/it]
dA: 1.873; gA: -0.004;idtA: 0.030; ;dB: 0.960; gB: 0.006;cA: 0.065; cB: 0.060:   0%|          | 23/500000 [00:18<434:05:28,  3.13s/it]
dA: 1.873; gA: -0.004;idtA: 0.030; ;dB: 0.960; gB: 0.006;cA: 0.065; cB: 0.060:   0%|          | 24/500000 [00:19<430:41:48,  3.10s/it]
dA: 1.905; gA: 0.001;idtA: 0.023; ;dB: 0.726; gB: 0.010;cA: 0.056; cB: 0.053:   0%|          | 24/500000 [00:19<430:41:48,  3.10s/it] 
dA: 1.905; gA: 0.001;idtA: 0.023; ;dB: 0.726; gB: 0.010;cA: 0.056; cB: 0.053:   0%|          | 25/500000 [00:20<427:20:22,  3.08s/it]
dA: 1.902; gA: 0.007;idtA: 0.037; ;dB: 0.289; gB: 0.010;cA: 0.057; cB: 0.075:   0%|          | 25/500000 [00:20<427:20:22,  3.08s/it]
dA: 1.902; gA: 0.007;idtA: 0.037; ;dB: 0.289; gB: 0.010;cA: 0.057; cB: 0.075:   0%|          | 26/500000 [00:20<424:00:50,  3.05s/it]
dA: 1.971; gA: 0.000;idtA: 0.019; ;dB: 1.262; gB: 0.009;cA: 0.041; cB: 0.031:   0%|          | 26/500000 [00:20<424:00:50,  3.05s/it]
dA: 1.971; gA: 0.000;idtA: 0.019; ;dB: 1.262; gB: 0.009;cA: 0.041; cB: 0.031:   0%|          | 27/500000 [00:21<420:43:13,  3.03s/it]
dA: 2.232; gA: 0.003;idtA: 0.019; ;dB: 0.568; gB: 0.011;cA: 0.036; cB: 0.032:   0%|          | 27/500000 [00:21<420:43:13,  3.03s/it]
dA: 2.232; gA: 0.003;idtA: 0.019; ;dB: 0.568; gB: 0.011;cA: 0.036; cB: 0.032:   0%|          | 28/500000 [00:22<417:28:43,  3.01s/it]
dA: 1.782; gA: 0.006;idtA: 0.030; ;dB: 0.790; gB: 0.007;cA: 0.080; cB: 0.052:   0%|          | 28/500000 [00:22<417:28:43,  3.01s/it]
dA: 1.782; gA: 0.006;idtA: 0.030; ;dB: 0.790; gB: 0.007;cA: 0.080; cB: 0.052:   0%|          | 29/500000 [00:22<414:14:50,  2.98s/it]
dA: 1.533; gA: 0.009;idtA: 0.036; ;dB: 0.587; gB: 0.005;cA: 0.106; cB: 0.075:   0%|          | 29/500000 [00:22<414:14:50,  2.98s/it]
dA: 1.533; gA: 0.009;idtA: 0.036; ;dB: 0.587; gB: 0.005;cA: 0.106; cB: 0.075:   0%|          | 30/500000 [00:23<411:02:41,  2.96s/it]
dA: 2.067; gA: 0.006;idtA: 0.016; ;dB: 1.022; gB: 0.004;cA: 0.031; cB: 0.024:   0%|          | 30/500000 [00:23<411:02:41,  2.96s/it]
dA: 2.067; gA: 0.006;idtA: 0.016; ;dB: 1.022; gB: 0.004;cA: 0.031; cB: 0.024:   0%|          | 31/500000 [00:24<407:52:32,  2.94s/it]
dA: 4.945; gA: 0.003;idtA: 0.014; ;dB: 0.278; gB: 0.008;cA: 0.037; cB: 0.025:   0%|          | 31/500000 [00:24<407:52:32,  2.94s/it]
dA: 4.945; gA: 0.003;idtA: 0.014; ;dB: 0.278; gB: 0.008;cA: 0.037; cB: 0.025:   0%|          | 32/500000 [00:24<404:44:25,  2.91s/it]
dA: 2.093; gA: 0.010;idtA: 0.011; ;dB: 0.311; gB: 0.007;cA: 0.035; cB: 0.025:   0%|          | 32/500000 [00:24<404:44:25,  2.91s/it]
dA: 2.093; gA: 0.010;idtA: 0.011; ;dB: 0.311; gB: 0.007;cA: 0.035; cB: 0.025:   0%|          | 33/500000 [00:25<401:38:11,  2.89s/it]
dA: 2.708; gA: 0.008;idtA: 0.012; ;dB: 0.600; gB: 0.010;cA: 0.044; cB: 0.027:   0%|          | 33/500000 [00:25<401:38:11,  2.89s/it]
dA: 2.708; gA: 0.008;idtA: 0.012; ;dB: 0.600; gB: 0.010;cA: 0.044; cB: 0.027:   0%|          | 34/500000 [00:26<398:34:47,  2.87s/it]
dA: 1.907; gA: 0.000;idtA: 0.015; ;dB: 0.373; gB: 0.018;cA: 0.101; cB: 0.035:   0%|          | 34/500000 [00:26<398:34:47,  2.87s/it]
dA: 1.907; gA: 0.000;idtA: 0.015; ;dB: 0.373; gB: 0.018;cA: 0.101; cB: 0.035:   0%|          | 35/500000 [00:27<395:37:17,  2.85s/it]
dA: 1.414; gA: 0.016;idtA: 0.032; ;dB: 0.691; gB: 0.006;cA: 0.118; cB: 0.065:   0%|          | 35/500000 [00:27<395:37:17,  2.85s/it]
dA: 1.414; gA: 0.016;idtA: 0.032; ;dB: 0.691; gB: 0.006;cA: 0.118; cB: 0.065:   0%|          | 36/500000 [00:27<392:42:00,  2.83s/it]
dA: 3.509; gA: -0.006;idtA: 0.011; ;dB: 1.120; gB: 0.009;cA: 0.038; cB: 0.024:   0%|          | 36/500000 [00:27<392:42:00,  2.83s/it]
dA: 3.509; gA: -0.006;idtA: 0.011; ;dB: 1.120; gB: 0.009;cA: 0.038; cB: 0.024:   0%|          | 37/500000 [00:28<389:42:55,  2.81s/it]
dA: 2.223; gA: 0.009;idtA: 0.012; ;dB: 0.894; gB: 0.006;cA: 0.022; cB: 0.019:   0%|          | 37/500000 [00:28<389:42:55,  2.81s/it] 
dA: 2.223; gA: 0.009;idtA: 0.012; ;dB: 0.894; gB: 0.006;cA: 0.022; cB: 0.019:   0%|          | 38/500000 [00:29<386:46:16,  2.78s/it]
dA: 1.601; gA: 0.017;idtA: 0.015; ;dB: 0.027; gB: 0.014;cA: 0.057; cB: 0.027:   0%|          | 38/500000 [00:29<386:46:16,  2.78s/it]
dA: 1.601; gA: 0.017;idtA: 0.015; ;dB: 0.027; gB: 0.014;cA: 0.057; cB: 0.027:   0%|          | 39/500000 [00:29<383:50:49,  2.76s/it]
dA: 1.987; gA: 0.000;idtA: 0.025; ;dB: 1.171; gB: 0.004;cA: 0.068; cB: 0.049:   0%|          | 39/500000 [00:29<383:50:49,  2.76s/it]
dA: 1.987; gA: 0.000;idtA: 0.025; ;dB: 1.171; gB: 0.004;cA: 0.068; cB: 0.049:   0%|          | 40/500000 [00:30<380:57:06,  2.74s/it]
dA: 2.100; gA: 0.007;idtA: 0.017; ;dB: 1.032; gB: 0.001;cA: 0.064; cB: 0.035:   0%|          | 40/500000 [00:30<380:57:06,  2.74s/it]
dA: 2.100; gA: 0.007;idtA: 0.017; ;dB: 1.032; gB: 0.001;cA: 0.064; cB: 0.035:   0%|          | 41/500000 [00:31<378:05:44,  2.72s/it]
dA: 2.184; gA: 0.006;idtA: 0.024; ;dB: 0.834; gB: 0.006;cA: 0.039; cB: 0.045:   0%|          | 41/500000 [00:31<378:05:44,  2.72s/it]
dA: 2.184; gA: 0.006;idtA: 0.024; ;dB: 0.834; gB: 0.006;cA: 0.039; cB: 0.045:   0%|          | 42/500000 [00:31<375:16:55,  2.70s/it]
dA: 2.329; gA: -0.002;idtA: 0.010; ;dB: 0.558; gB: -0.000;cA: 0.020; cB: 0.016:   0%|          | 42/500000 [00:31<375:16:55,  2.70s/it]
dA: 2.329; gA: -0.002;idtA: 0.010; ;dB: 0.558; gB: -0.000;cA: 0.020; cB: 0.016:   0%|          | 43/500000 [00:32<372:29:42,  2.68s/it]
dA: 2.390; gA: 0.003;idtA: 0.017; ;dB: 1.521; gB: 0.006;cA: 0.027; cB: 0.027:   0%|          | 43/500000 [00:32<372:29:42,  2.68s/it]  
dA: 2.390; gA: 0.003;idtA: 0.017; ;dB: 1.521; gB: 0.006;cA: 0.027; cB: 0.027:   0%|          | 44/500000 [00:33<369:44:14,  2.66s/it]
dA: 1.620; gA: 0.010;idtA: 0.018; ;dB: 1.072; gB: 0.005;cA: 0.050; cB: 0.031:   0%|          | 44/500000 [00:33<369:44:14,  2.66s/it]
dA: 1.620; gA: 0.010;idtA: 0.018; ;dB: 1.072; gB: 0.005;cA: 0.050; cB: 0.031:   0%|          | 45/500000 [00:33<366:59:48,  2.64s/it]
dA: 1.664; gA: 0.005;idtA: 0.022; ;dB: 0.097; gB: 0.016;cA: 0.051; cB: 0.041:   0%|          | 45/500000 [00:33<366:59:48,  2.64s/it]
dA: 1.664; gA: 0.005;idtA: 0.022; ;dB: 0.097; gB: 0.016;cA: 0.051; cB: 0.041:   0%|          | 46/500000 [00:34<364:16:55,  2.62s/it]
dA: 2.016; gA: 0.013;idtA: 0.017; ;dB: 0.630; gB: 0.017;cA: 0.057; cB: 0.025:   0%|          | 46/500000 [00:34<364:16:55,  2.62s/it]
dA: 2.016; gA: 0.013;idtA: 0.017; ;dB: 0.630; gB: 0.017;cA: 0.057; cB: 0.025:   0%|          | 47/500000 [00:35<361:34:59,  2.60s/it]
dA: 3.447; gA: -0.014;idtA: 0.014; ;dB: 0.379; gB: 0.013;cA: 0.062; cB: 0.030:   0%|          | 47/500000 [00:35<361:34:59,  2.60s/it]
dA: 3.447; gA: -0.014;idtA: 0.014; ;dB: 0.379; gB: 0.013;cA: 0.062; cB: 0.030:   0%|          | 48/500000 [00:36<358:54:29,  2.58s/it]
dA: 2.163; gA: 0.001;idtA: 0.033; ;dB: 0.115; gB: 0.014;cA: 0.037; cB: 0.062:   0%|          | 48/500000 [00:36<358:54:29,  2.58s/it] 
dA: 2.163; gA: 0.001;idtA: 0.033; ;dB: 0.115; gB: 0.014;cA: 0.037; cB: 0.062:   0%|          | 49/500000 [00:36<356:15:45,  2.57s/it]
dA: 3.060; gA: 0.005;idtA: 0.015; ;dB: 0.103; gB: 0.015;cA: 0.070; cB: 0.035:   0%|          | 49/500000 [00:36<356:15:45,  2.57s/it]
dA: 3.060; gA: 0.005;idtA: 0.015; ;dB: 0.103; gB: 0.015;cA: 0.070; cB: 0.035:   0%|          | 50/500000 [00:37<353:38:25,  2.55s/it]
dA: 1.816; gA: -0.007;idtA: 0.024; ;dB: 0.197; gB: 0.012;cA: 0.065; cB: 0.046:   0%|          | 50/500000 [00:37<353:38:25,  2.55s/it]
dA: 1.816; gA: -0.007;idtA: 0.024; ;dB: 0.197; gB: 0.012;cA: 0.065; cB: 0.046:   0%|          | 51/500000 [00:38<351:02:49,  2.53s/it]
dA: 3.046; gA: 0.001;idtA: 0.024; ;dB: 0.867; gB: 0.009;cA: 0.043; cB: 0.040:   0%|          | 51/500000 [00:38<351:02:49,  2.53s/it] 
dA: 3.046; gA: 0.001;idtA: 0.024; ;dB: 0.867; gB: 0.009;cA: 0.043; cB: 0.040:   0%|          | 52/500000 [00:38<348:29:11,  2.51s/it]
