masks are: mixed
using GPU 1-1 for training

  0%|          | 0/500000 [00:00<?, ?it/s]using GPU 0-0 for training
[**] create folder /home/datasets/Trainedmodelsandresults/Endo-STTN/SanityChecks/sttn_SanityCheck27
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-transfer2-TransMask/gen_00009.pth...
Loading model from /home/datasets/Trainedmodelsandresults/Endo-STTN/release_model/sttn_hyper-kvasir-Addingspec-GTdata/gen_00003.pth...
Warnning: There is no trained model found. An initialized model will be used.
/home/rdaher/.local/lib/python3.8/site-packages/torch/nn/functional.py:3679: UserWarning: The default behavior for interpolate/upsample with float scale_factor changed in 1.6.0 to align with other frameworks/libraries, and now uses scale_factor directly, instead of relying on the computed output size. If you wish to restore the old behavior, please set recompute_scale_factor=True. See the documentation of nn.Upsample for details. 
  warnings.warn(

  0%|          | 1/500000 [00:03<487:40:16,  3.51s/it]
dA: 0.767; gA: 0.013;holeA: 0.067; validA: 0.032;dB: 0.325; gB: 0.011;holeB: 0.054;; ;cA: 0.060; cB: 0.061:   0%|          | 20/500000 [00:14<416:43:59,  3.00s/it]
dA: 0.745; gA: 0.008;holeA: 0.040; validA: 0.020;dB: 0.189; gB: 0.015;holeB: 0.033;; ;cA: 0.039; cB: 0.039:   0%|          | 20/500000 [00:14<416:43:59,  3.00s/it]
dA: 0.745; gA: 0.008;holeA: 0.040; validA: 0.020;dB: 0.189; gB: 0.015;holeB: 0.033;; ;cA: 0.039; cB: 0.039:   0%|          | 21/500000 [00:14<413:20:55,  2.98s/it]
dA: 1.030; gA: 0.001;holeA: 0.032; validA: 0.021;dB: 0.670; gB: 0.019;holeB: 0.033;; ;cA: 0.036; cB: 0.036:   0%|          | 21/500000 [00:14<413:20:55,  2.98s/it]
dA: 1.030; gA: 0.001;holeA: 0.032; validA: 0.021;dB: 0.670; gB: 0.019;holeB: 0.033;; ;cA: 0.036; cB: 0.036:   0%|          | 22/500000 [00:15<410:00:14,  2.95s/it]
dA: 1.124; gA: 0.029;holeA: 0.078; validA: 0.035;dB: 0.271; gB: 0.020;holeB: 0.074;; ;cA: 0.079; cB: 0.082:   0%|          | 22/500000 [00:15<410:00:14,  2.95s/it]
dA: 1.124; gA: 0.029;holeA: 0.078; validA: 0.035;dB: 0.271; gB: 0.020;holeB: 0.074;; ;cA: 0.079; cB: 0.082:   0%|          | 23/500000 [00:16<406:47:18,  2.93s/it]
dA: 0.589; gA: 0.016;holeA: 0.060; validA: 0.037;dB: 0.358; gB: 0.003;holeB: 0.055;; ;cA: 0.071; cB: 0.073:   0%|          | 23/500000 [00:16<406:47:18,  2.93s/it]
dA: 0.589; gA: 0.016;holeA: 0.060; validA: 0.037;dB: 0.358; gB: 0.003;holeB: 0.055;; ;cA: 0.071; cB: 0.073:   0%|          | 24/500000 [00:16<403:30:15,  2.91s/it]
dA: 1.126; gA: 0.002;holeA: 0.044; validA: 0.026;dB: 0.500; gB: 0.010;holeB: 0.052;; ;cA: 0.063; cB: 0.061:   0%|          | 24/500000 [00:16<403:30:15,  2.91s/it]
dA: 1.126; gA: 0.002;holeA: 0.044; validA: 0.026;dB: 0.500; gB: 0.010;holeB: 0.052;; ;cA: 0.063; cB: 0.061:   0%|          | 25/500000 [00:17<400:15:12,  2.88s/it]
dA: 0.672; gA: 0.005;holeA: 0.023; validA: 0.017;dB: 0.407; gB: 0.021;holeB: 0.024;; ;cA: 0.031; cB: 0.030:   0%|          | 25/500000 [00:17<400:15:12,  2.88s/it]
dA: 0.672; gA: 0.005;holeA: 0.023; validA: 0.017;dB: 0.407; gB: 0.021;holeB: 0.024;; ;cA: 0.031; cB: 0.030:   0%|          | 26/500000 [00:17<397:02:05,  2.86s/it]
dA: 1.109; gA: -0.002;holeA: 0.046; validA: 0.028;dB: 0.480; gB: 0.004;holeB: 0.034;; ;cA: 0.042; cB: 0.038:   0%|          | 26/500000 [00:17<397:02:05,  2.86s/it]
dA: 1.109; gA: -0.002;holeA: 0.046; validA: 0.028;dB: 0.480; gB: 0.004;holeB: 0.034;; ;cA: 0.042; cB: 0.038:   0%|          | 27/500000 [00:18<393:51:01,  2.84s/it]
dA: 0.976; gA: 0.001;holeA: 0.044; validA: 0.014;dB: 0.722; gB: 0.000;holeB: 0.027;; ;cA: 0.031; cB: 0.030:   0%|          | 27/500000 [00:18<393:51:01,  2.84s/it] 
dA: 0.976; gA: 0.001;holeA: 0.044; validA: 0.014;dB: 0.722; gB: 0.000;holeB: 0.027;; ;cA: 0.031; cB: 0.030:   0%|          | 28/500000 [00:19<390:41:49,  2.81s/it]
dA: 0.703; gA: 0.003;holeA: 0.036; validA: 0.031;dB: 0.421; gB: 0.028;holeB: 0.069;; ;cA: 0.074; cB: 0.071:   0%|          | 28/500000 [00:19<390:41:49,  2.81s/it]
dA: 0.703; gA: 0.003;holeA: 0.036; validA: 0.031;dB: 0.421; gB: 0.028;holeB: 0.069;; ;cA: 0.074; cB: 0.071:   0%|          | 29/500000 [00:19<387:35:18,  2.79s/it]
dA: 0.628; gA: 0.011;holeA: 0.042; validA: 0.023;dB: 0.208; gB: 0.008;holeB: 0.043;; ;cA: 0.048; cB: 0.047:   0%|          | 29/500000 [00:19<387:35:18,  2.79s/it]
dA: 0.628; gA: 0.011;holeA: 0.042; validA: 0.023;dB: 0.208; gB: 0.008;holeB: 0.043;; ;cA: 0.048; cB: 0.047:   0%|          | 30/500000 [00:20<384:30:23,  2.77s/it]
dA: 0.892; gA: -0.010;holeA: 0.071; validA: 0.037;dB: 0.578; gB: 0.028;holeB: 0.066;; ;cA: 0.069; cB: 0.068:   0%|          | 30/500000 [00:20<384:30:23,  2.77s/it]
dA: 0.892; gA: -0.010;holeA: 0.071; validA: 0.037;dB: 0.578; gB: 0.028;holeB: 0.066;; ;cA: 0.069; cB: 0.068:   0%|          | 31/500000 [00:20<381:26:54,  2.75s/it]
dA: 0.780; gA: 0.010;holeA: 0.038; validA: 0.023;dB: 0.551; gB: -0.008;holeB: 0.037;; ;cA: 0.051; cB: 0.050:   0%|          | 31/500000 [00:20<381:26:54,  2.75s/it]
dA: 0.780; gA: 0.010;holeA: 0.038; validA: 0.023;dB: 0.551; gB: -0.008;holeB: 0.037;; ;cA: 0.051; cB: 0.050:   0%|          | 32/500000 [00:21<378:25:03,  2.72s/it]
dA: 0.974; gA: 0.006;holeA: 0.040; validA: 0.027;dB: 0.342; gB: 0.017;holeB: 0.053;; ;cA: 0.059; cB: 0.060:   0%|          | 32/500000 [00:21<378:25:03,  2.72s/it] 
dA: 0.974; gA: 0.006;holeA: 0.040; validA: 0.027;dB: 0.342; gB: 0.017;holeB: 0.053;; ;cA: 0.059; cB: 0.060:   0%|          | 33/500000 [00:21<375:24:57,  2.70s/it]
dA: 0.797; gA: -0.001;holeA: 0.089; validA: 0.047;dB: 0.231; gB: 0.019;holeB: 0.099;; ;cA: 0.117; cB: 0.109:   0%|          | 33/500000 [00:21<375:24:57,  2.70s/it]
dA: 0.797; gA: -0.001;holeA: 0.089; validA: 0.047;dB: 0.231; gB: 0.019;holeB: 0.099;; ;cA: 0.117; cB: 0.109:   0%|          | 34/500000 [00:22<372:26:39,  2.68s/it]
dA: 0.534; gA: 0.021;holeA: 0.058; validA: 0.033;dB: 0.766; gB: 0.007;holeB: 0.048;; ;cA: 0.060; cB: 0.060:   0%|          | 34/500000 [00:22<372:26:39,  2.68s/it] 
dA: 0.534; gA: 0.021;holeA: 0.058; validA: 0.033;dB: 0.766; gB: 0.007;holeB: 0.048;; ;cA: 0.060; cB: 0.060:   0%|          | 35/500000 [00:22<369:30:13,  2.66s/it]
dA: 0.347; gA: 0.047;holeA: 0.040; validA: 0.029;dB: 0.334; gB: 0.022;holeB: 0.048;; ;cA: 0.062; cB: 0.063:   0%|          | 35/500000 [00:22<369:30:13,  2.66s/it]
dA: 0.347; gA: 0.047;holeA: 0.040; validA: 0.029;dB: 0.334; gB: 0.022;holeB: 0.048;; ;cA: 0.062; cB: 0.063:   0%|          | 36/500000 [00:23<366:35:59,  2.64s/it]
dA: 0.528; gA: 0.028;holeA: 0.040; validA: 0.025;dB: 0.432; gB: 0.002;holeB: 0.039;; ;cA: 0.052; cB: 0.054:   0%|          | 36/500000 [00:23<366:35:59,  2.64s/it]
dA: 0.528; gA: 0.028;holeA: 0.040; validA: 0.025;dB: 0.432; gB: 0.002;holeB: 0.039;; ;cA: 0.052; cB: 0.054:   0%|          | 37/500000 [00:24<363:43:22,  2.62s/it]
dA: 0.400; gA: 0.032;holeA: 0.057; validA: 0.041;dB: 0.271; gB: 0.019;holeB: 0.054;; ;cA: 0.077; cB: 0.076:   0%|          | 37/500000 [00:24<363:43:22,  2.62s/it]
